Source,Target
5218,7695
4672,664
4672,5838
664,5838
4459,1172
4459,1453
4459,5543
2,5706
2,8435
2,7695
9713,5838
8435,5706
8435,7695
1453,5543
1453,9328
2609,3369
5543,9328
10050,2
10050,1630
10050,5706
10050,7695
1630,7695
3545,6379
3633,9328
10424,9765
4672,664
4672,5838
6439,664
6439,4459
4459,9328
2,8435
2,7695
8176,9328
5543,3369
5543,1453
2609,7695
664,4672
664,6439
1630,7695
3545,6379
3633,4672
3633,4459
3633,9328
10424,9765
5218,1453
4672,6439
10050,7695
4459,9328
4459,5543
9713,5838
2,5706
2,8435
2,7695
8176,1453
1453,5543
5543,9328
3369,1172
10050,2
10050,5706
3545,6379
3633,6439
10424,9765
4672,664
4459,3369
2,5706
2,8435
8176,3369
8176,1172
1453,5543
1453,9328
5543,9328
3369,1172
664,4672
1630,7695
3545,6379
2161,8176
2161,5706
2161,5543
2161,7695
5218,3369
5218,4459
6439,5838
4459,3369
2,5706
2,8435
8176,5706
9713,5838
5706,7695
3369,1453
1172,9328
1453,9328
10050,1630
10050,5706
10050,7695
1630,5706
1630,7695
3633,5838
3633,6439
2161,1453
10424,9765
5218,3369
5218,4459
4672,664
6439,5838
4459,3369
8176,5543
5706,1172
5706,7695
2609,7695
9328,5543
1630,4459
3633,5838
2161,4459
5218,3369
5218,7695
6439,5838
10050,2
4459,7695
4459,1453
2,8176
2,8435
8176,5706
5706,1172
5706,5543
2609,1172
664,3369
664,4672
2161,5543
9765,4459
9765,10424
10050,2
10050,8176
4459,10424
4459,2609
2,8176
1453,1172
1172,5543
664,4672
1630,8435
3633,6439
2161,5218
2161,1172
2161,2609
10424,5218
10424,9765
10424,7695
10424,9328
5218,1172
6439,5838
4459,8176
4459,7695
8176,7695
9765,3369
9765,1453
9765,7695
2609,5543
1630,5706
2161,8176
2161,5543
10424,9765
10424,5543
5218,3369
6439,5838
4459,8176
4459,1172
8176,1172
8176,7695
9713,5838
8435,5706
2609,5543
2609,7695
3369,1172
3369,9328
9328,5543
664,4672
1630,5706
10424,9765
10424,7695
5218,7695
6439,5838
10050,2
4459,5543
8435,5706
5543,3369
5543,9328
664,4672
664,8435
3545,8176
3545,6379
10424,9765
10424,5543
5218,3369
5218,9328
5218,2609
4672,8435
3019,8675
10050,2
10050,8176
4459,2609
2,8176
2,6379
2609,3369
7695,5543
6055,8675
3369,5543
10050,2
10050,8176
1630,5706
3545,2
3545,8176
10424,4672
10424,4459
5218,3369
5218,5543
4672,664
4672,9765
4459,8435
4459,9765
2,8176
9765,9328
2609,5543
2609,1172
2609,9328
664,4672
664,9765
664,9328
1630,1453
1630,7695
3545,8176
10424,9328
10424,9765
4672,3369
4672,9765
4672,9328
10050,2
10050,8176
2,8176
2,6379
8176,6379
6055,8675
3369,1172
664,4672
1630,1453
1630,7695
3545,2
3545,8176
3633,6439
10424,4672
5218,7695
6439,5838
10050,2
2,8176
2,6379
8176,6379
10050,8176
1630,5543
1630,7695
3545,2
3545,8176
3545,6379
10424,4672
10424,9765
5218,3369
4672,4459
4459,9765
2,8176
2,6379
8176,6379
5543,7695
1630,7695
3545,8176
3545,6379
3545,1118
10424,9765
5218,3369
4672,664
3019,6055
3019,8675
2,8176
2,1118
8176,6379
8176,1118
8435,5706
5706,3369
7695,5543
10050,6379
1630,5543
1630,7695
3545,2
3545,8176
3545,6379
10424,9765
4672,664
3019,6055
3019,8675
2,8176
8176,6379
8435,5706
7695,5543
1453,5543
664,4672
1630,5706
1630,5543
1630,7695
3545,2
3545,8176
3545,6379
3545,1118
2161,6439
10424,9765
5218,4459
3019,6055
3019,8675
10050,8176
4459,3369
2,6379
2,1118
8176,6379
8176,1118
6379,1118
8435,1172
5706,9328
5543,1453
5543,9328
6055,8675
9765,3369
1630,7695
3633,6439
3633,9713
2161,6439
10424,9765
5218,4459
4672,664
4459,3369
2,8176
2,6379
8176,6379
8435,9765
5706,9328
6055,8675
9328,5543
664,4672
1630,5543
1630,7695
3545,2
3545,8176
3545,6379
3545,1118
10424,9765
5218,4459
6439,2609
4459,3369
2,6379
8176,6379
8176,1118
8435,5706
9328,5543
664,4672
