Source,Target
6489,2982
6489,2982
8931,825
6489,2982
5413,8931
5413,825
6489,2982
6489,2982
5413,8931
5413,825
6489,2982
8931,825
5413,8931
5413,825
6489,2982
5413,825
6489,2982
6489,2982
5413,825
6489,2982
2982,6489
6489,2982
6489,2982
6489,8574
5413,8931
6489,2982
8931,825
5413,8931
6489,2982
6489,2982
6489,2982
6489,2982
6489,2982
6489,2982
6489,2982
6489,2982
5413,8931
6489,2982
5413,8931
6489,2982
6489,8574
5413,8931
6489,2982
6489,2982
5413,8931
5413,8931
5413,8931
5413,8574
8931,8574
5413,8931
5092,4006
5092,4006
5092,4006
5092,4006
7634,5889
5092,4006
7634,7494
7634,5889
7494,5889
7634,7494
7634,5889
7494,5889
7634,5889
7634,7494
7634,5889
5092,4006
963,1883
8350,1883
963,1883
7634,5889
8350,1883
963,1883
5092,4006
7494,7634
7634,5889
7634,5889
7494,5889
7634,5889
963,1883
7634,7494
7634,5889
7494,5889
7494,7634
7634,5889
963,1883
7634,5889
8350,1883
963,1883
7634,5889
963,1883
4057,5960
7634,5889
4057,5960
7634,5889
7634,5889
963,1883
7634,5889
7634,5889
963,1883
7634,5889
963,1883
4057,5960
7634,5889
963,1883
4057,5960
7634,5889
4057,5960
7634,5889
10151,733
963,1883
4057,5960
7634,5889
10151,733
4057,5960
733,10151
4057,5960
7634,5889
963,1883
4057,5960
7634,5889
963,1883
4057,733
4057,5960
733,5960
4057,10151
4057,5960
4057,5960
7494,5889
4057,5960
7634,5889
5092,4006
8350,1883
4057,5960
7634,5889
8350,1883
4057,5960
733,10151
8350,1883
963,1883
4057,5960
7634,5889
8350,1883
963,8350
963,1883
4057,5960
7634,5889
733,10151
5092,4006
8350,1883
963,8350
963,1883
5092,4006
7634,5889
8350,1883
963,1883
7634,5889
8350,1883
963,8350
963,1883
7634,5889
733,10151
8350,1883
963,733
963,8350
963,1883
7634,5889
733,10151
8350,1883
7634,5889
8350,1883
7634,5889
8350,1883
963,8350
963,1883
7634,5889
963,1883
7634,5889
963,8350
963,1883
7634,5889
8350,1883
963,8350
963,1883
3129,6870
7634,5889
8350,1883
7494,5889
963,8350
963,1883
7634,5889
8350,1883
963,8350
963,1883
7634,5889
8350,1883
963,1883
7634,5889
963,1883
4057,5960
7634,5889
963,8350
963,1883
4057,5960
3129,6870
7634,5889
963,1883
4057,5960
10151,733
8350,1883
4057,5960
7634,5889
733,10151
8350,1883
4057,5960
10151,733
8350,1883
4057,5960
7634,5889
4057,5960
963,8350
963,1883
4057,5960
733,10151
4057,5960
7634,5889
1883,6870
963,8350
963,1883
7634,5889
10151,733
7634,5889
10151,733
7634,5889
7634,7494
7634,5889
963,1883
963,1883
8350,1883
963,1883
8350,1883
963,1883
8350,1883
963,1883
10332,9465
10332,9465
10332,9465
7634,733
7634,5889
733,10151
10151,5889
8350,1883
10332,9465
963,1883
7634,7494
7634,5889
10332,9465
963,1883
7634,5889
7494,5889
6475,5622
10332,9465
963,8350
963,1883
6475,9465
6475,5622
10332,9465
963,8350
4057,5960
3129,6870
7634,5889
8350,1883
6475,9465
6475,7250
6475,5622
10332,9465
10332,5622
963,8350
963,1883
781,10446
781,494
4057,5960
8350,1883
5622,9465
6870,5889
6870,1883
963,1883
4057,5960
7634,5889
9465,6475
9465,10332
9465,5622
1883,8350
10332,6475
10332,5622
6475,7250
781,494
6475,9465
6475,10332
6475,5622
6475,494
10332,9465
963,1883
7634,7494
7634,5889
5622,9465
10446,781
781,494
9465,494
7494,7634
7494,5889
10446,5622
963,1883
7634,5889
6475,9465
6475,5622
963,1883
7634,7494
733,10151
5960,5889
7250,9465
6475,10332
6475,5622
10332,9465
10332,781
10332,5622
963,1883
7634,7494
7634,5889
7494,5889
5622,9465
7250,9465
7250,781
494,781
5626,781
7494,7634
7494,5889
10446,5622
6870,3129
7634,5889
7634,7250
9465,10332
6475,5622
5622,781
7250,494
781,494
7494,7634
10446,6475
10446,494
7634,5889
733,10151
9465,10332
494,781
494,5622
6475,781
6475,5622
7494,5889
6870,3129
5626,7250
963,1883
7634,5889
733,10151
10890,9541
9465,10332
494,781
963,1883
7634,5889
10890,9541
494,781
10332,6475
10332,5622
6475,781
6475,5622
5622,781
963,1883
7634,5889
10890,9541
9465,10332
1883,8350
10332,5622
5622,781
5622,494
781,494
7494,7634
10446,781
10446,494
5626,7250
963,1883
4057,5960
7634,5889
10890,9541
9465,6475
10332,6475
10332,5622
6475,5622
7494,5889
10446,781
10446,494
963,1883
4057,5960
7634,5889
10890,9541
10332,5622
9541,5622
781,494
7494,5889
10446,781
4057,5960
7634,5889
10890,6475
10890,9465
10890,9541
10890,10332
9465,10332
494,781
10332,6475
10332,9541
6475,5622
6475,9541
9541,5622
7494,7634
10446,781
5626,7634
963,8350
963,1883
4057,5960
7634,5889
8652,1899
10890,9541
9465,10332
5889,7250
6475,5622
781,494
7494,7634
7494,5889
10446,7634
10446,2168
10446,1899
10446,494
494,781
963,1883
7634,5889
10890,9541
9465,6475
9465,10332
1899,6475
10332,6475
6475,5622
9541,5622
7494,5889
10446,5960
10446,781
10446,494
963,8350
963,1883
7634,5889
10890,9541
10332,6475
10332,5622
6475,5622
781,494
7494,5889
10446,781
10446,494
5626,7250
8652,2168
8652,1899
10890,9541
9465,10332
6475,5622
781,494
7494,5889
10446,781
10446,494
963,8350
8652,1899
1899,2168
10890,9541
4424,8086
10332,6475
6475,5622
8086,9541
781,494
7494,5889
10446,781
10446,494
5960,7250
5960,9541
6870,3129
963,8350
8652,2168
8652,1899
10890,9541
4424,8086
1899,2168
10332,6475
6475,5622
781,494
10446,781
10446,494
494,781
6870,3129
8652,2168
8652,1899
1899,2168
10890,9541
9465,10332
4424,8086
10332,6475
10332,5622
6475,5622
10446,781
10446,494
8652,2168
10890,9541
9465,10332
4424,8086
10332,6475
781,494
10446,781
10446,494
494,781
963,8350
4057,5960
8652,2168
8652,1899
10890,9541
9465,6475
4424,8086
10332,6475
7494,7634
10446,781
10446,494
6870,3129
4057,5960
8652,2168
8652,1899
10890,9541
9465,10332
4424,8086
10332,6475
2168,1899
6475,5622
781,494
7494,7634
10446,781
10446,494
6870,3129
5626,7250
4057,5960
7634,5889
8652,2168
8652,1899
10890,9541
4424,8086
10332,6475
6475,5622
781,494
7494,5889
10446,781
10446,494
5626,7250
963,8350
4057,5960
7634,5889
8652,2168
8652,1899
10890,9541
9465,10332
4424,8086
1899,2168
6475,5622
7494,5889
10446,781
10446,494
963,8350
963,1883
4057,5960
7634,5889
8652,2168
10890,9541
9465,10332
4424,8086
6475,5622
781,494
7494,5889
10446,781
10446,494
494,781
963,8350
963,1883
4057,5960
7634,5889
8652,2168
4424,8086
6475,5622
7494,7634
7494,5889
10446,494
5960,4057
963,8350
963,1883
7634,5889
10890,9541
9465,10332
4424,8086
6475,5622
781,494
7494,7634
10446,5960
10446,4057
10446,781
6870,3129
963,8350
963,1883
4057,5960
10890,4006
9465,10332
9465,5622
4424,8086
10332,5622
6475,5622
8086,781
10446,5960
963,8350
963,1883
4057,5960
8652,2168
8652,1899
1899,2168
10890,9541
9465,6475
9465,5622
4424,8086
6475,5622
781,494
7494,7634
10446,4424
10446,781
5626,7250
963,8350
4057,5960
7634,5889
8652,2168
8652,1899
10890,9541
9465,6475
9465,10332
9465,5622
4424,8086
10332,5622
5889,781
6475,5622
781,494
7494,7634
10446,781
494,781
5626,7250
5626,10332
963,1883
4057,5960
7634,5889
10890,9541
9465,10332
4424,8086
10332,7250
10332,5622
