source,target,weight
0,118,4
0,238,4
0,125,3
1,70,7
1,180,6
1,5,1
2,136,2
2,66,1
2,203,4
2,109,1
2,222,3
2,9,6
2,94,1
3,63,2
3,129,1
3,171,2
3,50,6
3,57,2
4,37,3
4,166,5
4,51,3
5,68,2
5,240,5
5,6,2
5,116,6
5,17,5
5,208,7
5,224,3
5,24,1
5,112,2
5,7,3
5,8,5
5,104,7
6,128,3
6,190,7
6,91,4
7,100,2
7,190,3
7,218,1
7,133,1
7,186,4
7,19,4
7,183,6
8,10,6
8,100,5
8,240,4
8,50,1
8,173,7
9,188,7
9,192,3
9,217,5
10,12,6
10,186,6
10,218,2
11,132,5
11,197,2
11,44,1
11,167,7
11,158,3
11,183,7
12,240,3
12,190,5
12,74,4
13,220,7
13,25,4
13,59,1
14,142,4
14,55,4
14,150,7
14,34,4
14,87,7
15,186,3
15,142,5
15,150,2
15,162,6
16,216,4
16,35,3
17,173,3
18,203,4
18,159,4
19,24,7
19,173,2
20,246,1
20,152,3
20,216,6
20,131,5
20,242,4
20,48,5
21,242,7
21,152,4
21,151,7
21,125,4
22,145,6
22,201,2
22,194,4
22,34,6
22,47,4
22,243,2
23,77,5
23,221,3
23,69,3
23,205,2
23,217,7
24,68,3
24,224,7
25,98,1
25,105,6
26,36,3
26,153,3
26,207,1
27,167,7
27,239,6
27,169,2
27,231,2
28,39,7
28,150,1
28,106,2
28,87,7
28,65,5
28,62,4
29,117,4
29,86,5
29,167,1
29,197,6
30,154,1
30,225,1
30,184,6
30,60,3
31,230,3
31,232,1
31,233,4
32,187,4
32,72,2
32,81,1
32,171,4
32,103,7
32,123,2
33,235,7
33,120,7
33,248,5
34,189,5
34,148,2
34,141,5
34,248,5
35,223,2
36,37,2
36,185,6
37,65,3
37,172,2
38,148,6
38,150,4
38,245,5
38,248,6
39,243,6
40,63,1
40,50,5
40,212,6
40,46,3
41,43,3
41,207,3
41,215,2
42,55,2
42,80,7
43,171,4
43,202,6
43,168,6
43,56,3
43,45,5
43,165,6
43,57,5
43,103,1
43,81,2
43,82,1
43,107,7
43,115,5
43,123,3
43,236,7
43,163,6
43,67,1
44,167,7
44,86,5
44,183,3
45,171,4
45,115,4
46,171,4
46,165,1
46,176,2
47,194,7
47,87,4
47,243,2
48,57,5
49,191,4
49,232,7
49,76,3
49,230,5
50,171,1
50,57,7
51,172,4
51,215,2
51,74,5
51,97,7
52,142,3
52,201,1
52,150,4
52,80,2
52,243,1
53,138,2
53,93,1
53,247,2
53,230,2
53,232,4
54,130,5
54,230,5
54,76,3
54,229,6
55,248,2
56,165,7
56,171,3
57,171,4
57,168,7
57,213,4
57,65,5
57,67,3
58,158,4
58,167,7
59,155,3
59,234,2
59,230,5
60,167,2
60,174,7
61,241,4
61,143,1
61,205,2
61,209,7
61,244,2
62,243,1
63,160,1
63,171,6
63,67,2
63,82,2
64,184,5
64,96,1
65,84,2
65,146,6
65,101,7
65,108,7
66,137,1
66,203,6
66,88,3
67,236,4
68,173,5
68,208,6
69,188,3
69,73,3
69,99,2
70,190,3
70,85,4
70,78,1
70,104,1
71,170,3
71,134,1
71,113,1
71,193,4
71,230,4
71,232,4
72,187,6
72,84,5
73,221,1
74,149,6
74,199,4
74,172,6
74,182,2
74,219,7
74,163,2
74,124,3
75,171,7
75,85,2
75,128,5
76,222,4
76,138,6
76,130,5
76,141,4
76,230,7
77,192,5
78,133,1
79,167,1
79,195,1
79,204,3
79,112,6
80,145,2
81,171,4
81,181,5
81,93,7
82,213,6
83,147,3
83,149,3
84,171,7
84,129,5
84,89,4
86,158,7
86,169,7
86,200,7
87,106,3
87,245,2
88,90,3
89,202,3
89,168,2
90,135,3
90,136,1
90,137,5
91,180,4
92,102,1
92,230,4
92,233,7
93,198,2
93,130,5
93,138,2
93,230,4
95,145,6
95,148,6
96,132,3
96,167,4
97,230,7
97,139,5
97,185,4
98,141,6
99,196,7
100,173,2
101,182,1
102,227,1
102,230,2
104,173,3
105,226,5
105,118,2
106,120,7
107,168,1
107,171,6
108,171,6
109,137,2
110,132,2
110,167,1
110,175,3
111,196,2
111,221,7
111,244,4
112,183,3
112,204,3
113,170,6
113,230,2
114,151,6
114,216,1
117,184,2
118,232,6
119,140,4
119,230,6
119,232,7
119,233,5
119,127,2
120,201,5
121,131,5
121,151,7
121,152,6
121,216,7
122,186,1
124,146,3
126,234,4
127,200,7
127,163,1
128,133,5
129,171,1
129,176,3
130,193,1
130,232,7
130,229,5
130,178,2
130,230,5
131,161,6
131,223,6
134,157,6
134,222,2
134,144,3
134,156,4
134,230,7
135,209,5
135,221,1
135,196,4
135,210,5
136,241,4
138,193,7
138,247,7
138,222,1
139,177,7
139,153,5
139,228,5
140,227,5
140,230,2
141,246,1
141,223,4
141,151,4
142,184,5
142,162,3
143,192,5
143,221,6
143,159,3
144,178,2
144,164,1
144,232,2
145,243,7
146,166,7
146,149,4
146,172,5
146,199,2
147,228,6
148,235,4
148,243,5
149,172,1
149,199,6
150,248,2
151,220,3
151,234,2
151,246,5
152,155,7
152,226,3
153,215,4
153,179,2
154,184,4
