source,target,weight
3,0,9
4,0,2
2,0,2
28,23,7
2,23,7
29,23,6
18,23,3
24,23,5
31,23,1
25,23,7
32,23,1
33,23,2
23,23,1
4,23,7
40,39,19
6,39,22
2,39,1
45,20,23
33,20,4
15,20,2
4,20,2
46,20,2
35,20,2
55,45,1
20,20,1
32,20,1
49,20,1
25,37,2
20,34,1
52,34,5
15,34,3
60,34,1
29,34,1
34,34,1
21,1,15
71,1,9
1,1,23
70,1,29
73,1,2
19,1,2
26,46,1
56,46,1
68,15,4
29,15,1
4,15,16
26,15,3
17,15,1
7,15,2
46,15,4
34,15,1
4,46,1
35,46,1
90,72,20
19,72,15
91,72,5
96,96,1
97,96,4
84,96,3
58,96,1
40,43,7
11,3,2
5,3,1
19,3,1
2,3,2
10,3,1
6,3,5
0,3,3
17,3,1
69,68,3
22,101,2
16,68,2
101,68,3
60,101,2
36,42,7
14,42,2
82,42,11
81,42,3
22,42,2
17,42,1
22,94,22
61,94,2
16,94,23
85,94,20
104,94,3
106,94,5
81,94,1
23,94,1
33,33,255
25,33,17
34,33,3
80,33,1
20,33,3
4,33,5
48,33,1
29,33,4
15,33,1
9,33,1
23,33,1
73,21,20
76,21,3
1,21,11
109,73,1
21,21,1
70,21,5
0,21,1
30,21,1
48,21,1
74,21,1
50,21,1
8,14,1
6,14,2
3,14,1
23,4,4
15,4,4
35,4,2
87,4,2
29,4,1
18,4,1
34,4,1
26,4,2
0,4,1
39,6,9
0,6,2
40,6,9
3,6,2
5,6,1
7,115,2
39,40,10
6,40,6
43,40,2
28,40,2
23,24,1
111,111,13
22,111,11
68,111,1
69,111,2
23,27,1
25,51,19
49,51,6
40,28,1
23,28,4
19,28,1
7,110,2
110,110,3
7,30,3
0,30,2
37,30,1
31,30,1
59,30,1
58,30,4
115,30,1
9,30,1
94,92,1
22,92,1
96,84,1
82,82,1
22,82,5
42,82,6
105,82,4
28,100,2
19,100,2
61,69,1
69,69,3
75,69,4
94,61,1
66,61,2
22,61,1
61,61,5
60,61,4
67,61,4
68,61,4
68,67,1
15,67,1
94,85,9
105,105,1
105,85,6
16,85,6
104,85,6
26,85,1
16,105,1
85,105,1
51,25,11
4,25,1
33,25,3
29,25,1
9,25,5
23,25,3
3,25,1
0,25,1
25,25,5
68,25,1
34,25,3
50,25,1
37,25,1
115,7,1
44,7,1
4,7,1
74,50,1
109,50,2
50,109,1
50,48,2
2,8,2
0,8,1
87,9,1
64,9,2
56,9,5
25,9,3
16,16,1
94,16,7
66,16,1
67,16,1
101,16,3
18,16,1
104,16,4
106,16,1
0,11,1
17,11,1
23,29,2
33,29,1
