source,target,weight
40,39,2
20,20,1
29,20,1
4,20,2
25,20,1
54,20,2
68,66,1
90,72,6
19,72,5
97,96,11
84,96,1
30,96,6
96,96,7
58,96,1
7,96,5
16,68,2
61,68,5
101,68,4
85,94,3
16,94,34
22,94,18
81,94,2
106,94,3
104,94,2
69,94,3
68,94,1
33,33,17
73,21,1
74,21,1
78,4,1
29,4,2
42,92,3
68,69,5
61,69,6
22,69,1
70,69,1
75,69,6
67,61,6
68,61,3
29,67,2
68,67,4
21,61,1
70,61,1
69,61,1
72,19,2
94,85,1
106,85,13
16,85,5
104,85,1
69,85,3
75,85,1
105,85,3
30,105,1
30,85,1
53,109,1
68,16,1
94,16,7
104,16,2
106,16,1
85,16,2
22,16,3
16,16,3
81,16,1
61,29,1
109,32,1
